v4_2,Lower CI,Upper CI,two-year-intervals,Time,administrative-geography,Geography,sex,Sex,age-groups,AgeGroups
81.55,81.0,82.09,2006-08,2006-08,N09000008,Mid and East Antrim,female,Female,0-1,00-01
77.12,76.51,77.74,2006-08,2006-08,N09000008,Mid and East Antrim,male,Male,0-1,00-01
77.47,76.83,78.12,2008-10,2008-10,N09000008,Mid and East Antrim,male,Male,0-1,00-01
77.57,76.95,78.2,2007-09,2007-09,N09000008,Mid and East Antrim,male,Male,0-1,00-01
81.92,81.35,82.49,2008-10,2008-10,N09000008,Mid and East Antrim,female,Female,0-1,00-01
81.59,81.02,82.16,2007-09,2007-09,N09000008,Mid and East Antrim,female,Female,0-1,00-01
77.94,77.25,78.64,2006-08,2006-08,S12000045,East Dunbartonshire,male,Male,0-1,00-01
78.25,77.54,78.95,2007-09,2007-09,S12000045,East Dunbartonshire,male,Male,0-1,00-01
82.62,82.02,83.23,2007-09,2007-09,S12000045,East Dunbartonshire,female,Female,0-1,00-01
82.24,81.65,82.82,2006-08,2006-08,S12000045,East Dunbartonshire,female,Female,0-1,00-01
82.23,81.55,82.9,2008-10,2008-10,S12000045,East Dunbartonshire,female,Female,0-1,00-01
79.27,78.59,79.95,2008-10,2008-10,S12000045,East Dunbartonshire,male,Male,0-1,00-01
76.1,75.51,76.69,2007-09,2007-09,W06000012,Neath Port Talbot,male,Male,0-1,00-01
80.83,80.28,81.37,2008-10,2008-10,W06000012,Neath Port Talbot,female,Female,0-1,00-01
80.33,79.75,80.91,2006-08,2006-08,W06000012,Neath Port Talbot,female,Female,0-1,00-01
80.6,80.02,81.17,2007-09,2007-09,W06000012,Neath Port Talbot,female,Female,0-1,00-01
76.36,75.75,76.96,2008-10,2008-10,W06000012,Neath Port Talbot,male,Male,0-1,00-01
76.21,75.62,76.8,2006-08,2006-08,W06000012,Neath Port Talbot,male,Male,0-1,00-01
79.0,78.45,79.56,2006-08,2006-08,S12000021,North Ayrshire,female,Female,0-1,00-01
75.14,74.51,75.77,2008-10,2008-10,S12000021,North Ayrshire,male,Male,0-1,00-01
74.12,73.48,74.76,2007-09,2007-09,S12000021,North Ayrshire,male,Male,0-1,00-01
79.18,78.63,79.74,2007-09,2007-09,S12000021,North Ayrshire,female,Female,0-1,00-01
73.94,73.29,74.59,2006-08,2006-08,S12000021,North Ayrshire,male,Male,0-1,00-01
79.53,78.98,80.09,2008-10,2008-10,S12000021,North Ayrshire,female,Female,0-1,00-01
78.11,77.84,78.38,2007-09,2007-09,E10000021,Northamptonshire,male,Male,0-1,00-01
81.96,81.71,82.22,2007-09,2007-09,E10000021,Northamptonshire,female,Female,0-1,00-01
77.78,77.51,78.06,2006-08,2006-08,E10000021,Northamptonshire,male,Male,0-1,00-01
81.82,81.56,82.07,2006-08,2006-08,E10000021,Northamptonshire,female,Female,0-1,00-01
78.35,78.08,78.62,2008-10,2008-10,E10000021,Northamptonshire,male,Male,0-1,00-01
82.26,82.01,82.51,2008-10,2008-10,E10000021,Northamptonshire,female,Female,0-1,00-01
73.24,72.43,74.05,2008-10,2008-10,S12000018,Inverclyde,male,Male,0-1,00-01
72.96,72.12,73.8,2006-08,2006-08,S12000018,Inverclyde,male,Male,0-1,00-01
78.56,77.76,79.37,2006-08,2006-08,S12000018,Inverclyde,female,Female,0-1,00-01
79.17,78.37,79.98,2008-10,2008-10,S12000018,Inverclyde,female,Female,0-1,00-01
73.31,72.48,74.14,2007-09,2007-09,S12000018,Inverclyde,male,Male,0-1,00-01
78.93,78.12,79.74,2007-09,2007-09,S12000018,Inverclyde,female,Female,0-1,00-01
75.4,74.78,76.02,2007-09,2007-09,N09000005,Derry City and Strabane,male,Male,0-1,00-01
79.97,79.39,80.54,2006-08,2006-08,N09000005,Derry City and Strabane,female,Female,0-1,00-01
79.7,79.12,80.29,2007-09,2007-09,N09000005,Derry City and Strabane,female,Female,0-1,00-01
79.95,79.34,80.56,2008-10,2008-10,N09000005,Derry City and Strabane,female,Female,0-1,00-01
74.74,74.12,75.36,2006-08,2006-08,N09000005,Derry City and Strabane,male,Male,0-1,00-01
76.0,75.36,76.63,2008-10,2008-10,N09000005,Derry City and Strabane,male,Male,0-1,00-01
77.2,76.53,77.88,2006-08,2006-08,W06000009,Pembrokeshire,male,Male,0-1,00-01
82.15,81.58,82.73,2008-10,2008-10,W06000009,Pembrokeshire,female,Female,0-1,00-01
81.84,81.26,82.41,2006-08,2006-08,W06000009,Pembrokeshire,female,Female,0-1,00-01
78.07,77.44,78.71,2008-10,2008-10,W06000009,Pembrokeshire,male,Male,0-1,00-01
77.47,76.82,78.13,2007-09,2007-09,W06000009,Pembrokeshire,male,Male,0-1,00-01
82.18,81.62,82.74,2007-09,2007-09,W06000009,Pembrokeshire,female,Female,0-1,00-01
79.75,79.26,80.24,2008-10,2008-10,S12000040,West Lothian,female,Female,0-1,00-01
75.9,75.35,76.44,2007-09,2007-09,S12000040,West Lothian,male,Male,0-1,00-01
75.87,75.3,76.43,2006-08,2006-08,S12000040,West Lothian,male,Male,0-1,00-01
76.17,75.65,76.69,2008-10,2008-10,S12000040,West Lothian,male,Male,0-1,00-01
79.53,79.04,80.02,2007-09,2007-09,S12000040,West Lothian,female,Female,0-1,00-01
79.17,78.68,79.67,2006-08,2006-08,S12000040,West Lothian,female,Female,0-1,00-01
79.33,79.06,79.6,2007-09,2007-09,E10000018,Leicestershire,male,Male,0-1,00-01
83.1,82.84,83.36,2007-09,2007-09,E10000018,Leicestershire,female,Female,0-1,00-01
83.22,82.96,83.49,2008-10,2008-10,E10000018,Leicestershire,female,Female,0-1,00-01
79.06,78.79,79.33,2006-08,2006-08,E10000018,Leicestershire,male,Male,0-1,00-01
79.35,79.08,79.62,2008-10,2008-10,E10000018,Leicestershire,male,Male,0-1,00-01
82.69,82.43,82.94,2006-08,2006-08,E10000018,Leicestershire,female,Female,0-1,00-01
82.13,81.59,82.67,2006-08,2006-08,N09000007,Lisburn and Castlereagh,female,Female,0-1,00-01
78.06,77.47,78.64,2006-08,2006-08,N09000007,Lisburn and Castlereagh,male,Male,0-1,00-01
82.28,81.75,82.8,2007-09,2007-09,N09000007,Lisburn and Castlereagh,female,Female,0-1,00-01
78.28,77.68,78.88,2008-10,2008-10,N09000007,Lisburn and Castlereagh,male,Male,0-1,00-01
82.09,81.53,82.66,2008-10,2008-10,N09000007,Lisburn and Castlereagh,female,Female,0-1,00-01
78.02,77.41,78.62,2007-09,2007-09,N09000007,Lisburn and Castlereagh,male,Male,0-1,00-01
79.4,78.83,79.97,2006-08,2006-08,S12000042,Dundee City,female,Female,0-1,00-01
73.6,72.95,74.26,2008-10,2008-10,S12000042,Dundee City,male,Male,0-1,00-01
73.5,72.85,74.15,2007-09,2007-09,S12000042,Dundee City,male,Male,0-1,00-01
73.52,72.86,74.19,2006-08,2006-08,S12000042,Dundee City,male,Male,0-1,00-01
78.82,78.25,79.4,2008-10,2008-10,S12000042,Dundee City,female,Female,0-1,00-01
79.04,78.46,79.62,2007-09,2007-09,S12000042,Dundee City,female,Female,0-1,00-01
76.72,76.26,77.18,2007-09,2007-09,W06000011,Swansea,male,Male,0-1,00-01
81.51,81.1,81.93,2007-09,2007-09,W06000011,Swansea,female,Female,0-1,00-01
77.05,76.59,77.52,2008-10,2008-10,W06000011,Swansea,male,Male,0-1,00-01
81.03,80.61,81.46,2006-08,2006-08,W06000011,Swansea,female,Female,0-1,00-01
76.85,76.39,77.31,2006-08,2006-08,W06000011,Swansea,male,Male,0-1,00-01
82.01,81.6,82.42,2008-10,2008-10,W06000011,Swansea,female,Female,0-1,00-01
76.48,75.75,77.21,2006-08,2006-08,S12000020,Moray,male,Male,0-1,00-01
77.07,76.33,77.82,2008-10,2008-10,S12000020,Moray,male,Male,0-1,00-01
76.85,76.12,77.58,2007-09,2007-09,S12000020,Moray,male,Male,0-1,00-01
81.16,80.48,81.84,2007-09,2007-09,S12000020,Moray,female,Female,0-1,00-01
80.6,79.92,81.28,2006-08,2006-08,S12000020,Moray,female,Female,0-1,00-01
81.52,80.84,82.2,2008-10,2008-10,S12000020,Moray,female,Female,0-1,00-01
77.67,77.04,78.3,2007-09,2007-09,N09000004,Causeway Coast and Glens,male,Male,0-1,00-01
82.26,81.67,82.85,2007-09,2007-09,N09000004,Causeway Coast and Glens,female,Female,0-1,00-01
82.09,81.5,82.68,2006-08,2006-08,N09000004,Causeway Coast and Glens,female,Female,0-1,00-01
77.56,76.94,78.18,2006-08,2006-08,N09000004,Causeway Coast and Glens,male,Male,0-1,00-01
77.61,76.97,78.25,2008-10,2008-10,N09000004,Causeway Coast and Glens,male,Male,0-1,00-01
82.09,81.5,82.68,2008-10,2008-10,N09000004,Causeway Coast and Glens,female,Female,0-1,00-01
80.85,80.43,81.27,2006-08,2006-08,S12000017,Highland,female,Female,0-1,00-01
75.95,75.47,76.44,2006-08,2006-08,S12000017,Highland,male,Male,0-1,00-01
76.46,75.96,76.95,2008-10,2008-10,S12000017,Highland,male,Male,0-1,00-01
76.36,75.87,76.85,2007-09,2007-09,S12000017,Highland,male,Male,0-1,00-01
81.16,80.74,81.59,2007-09,2007-09,S12000017,Highland,female,Female,0-1,00-01
81.47,81.04,81.91,2008-10,2008-10,S12000017,Highland,female,Female,0-1,00-01
79.62,78.86,80.38,2007-09,2007-09,W06000008,Ceredigion,male,Male,0-1,00-01
79.85,79.1,80.6,2008-10,2008-10,W06000008,Ceredigion,male,Male,0-1,00-01
83.51,82.76,84.25,2007-09,2007-09,W06000008,Ceredigion,female,Female,0-1,00-01
83.56,82.82,84.29,2006-08,2006-08,W06000008,Ceredigion,female,Female,0-1,00-01
83.23,82.47,83.98,2008-10,2008-10,W06000008,Ceredigion,female,Female,0-1,00-01
79.9,79.13,80.67,2006-08,2006-08,W06000008,Ceredigion,male,Male,0-1,00-01
72.1,71.34,72.87,2006-08,2006-08,S12000039,West Dunbartonshire,male,Male,0-1,00-01
78.36,77.68,79.04,2007-09,2007-09,S12000039,West Dunbartonshire,female,Female,0-1,00-01
78.03,77.33,78.73,2006-08,2006-08,S12000039,West Dunbartonshire,female,Female,0-1,00-01
72.56,71.81,73.32,2007-09,2007-09,S12000039,West Dunbartonshire,male,Male,0-1,00-01
73.69,72.93,74.44,2008-10,2008-10,S12000039,West Dunbartonshire,male,Male,0-1,00-01
78.22,77.52,78.92,2008-10,2008-10,S12000039,West Dunbartonshire,female,Female,0-1,00-01
76.63,75.87,77.38,2008-10,2008-10,S12000019,Midlothian,male,Male,0-1,00-01
80.51,79.86,81.16,2006-08,2006-08,S12000019,Midlothian,female,Female,0-1,00-01
76.61,75.87,77.35,2007-09,2007-09,S12000019,Midlothian,male,Male,0-1,00-01
81.33,80.71,81.95,2008-10,2008-10,S12000019,Midlothian,female,Female,0-1,00-01
81.22,80.59,81.84,2007-09,2007-09,S12000019,Midlothian,female,Female,0-1,00-01
76.4,75.62,77.17,2006-08,2006-08,S12000019,Midlothian,male,Male,0-1,00-01
77.23,76.54,77.92,2008-10,2008-10,N09000006,Fermanagh and Omagh,male,Male,0-1,00-01
76.12,75.43,76.82,2007-09,2007-09,N09000006,Fermanagh and Omagh,male,Male,0-1,00-01
81.57,80.89,82.25,2006-08,2006-08,N09000006,Fermanagh and Omagh,female,Female,0-1,00-01
82.4,81.72,83.08,2008-10,2008-10,N09000006,Fermanagh and Omagh,female,Female,0-1,00-01
75.89,75.16,76.61,2006-08,2006-08,N09000006,Fermanagh and Omagh,male,Male,0-1,00-01
81.84,81.17,82.5,2007-09,2007-09,N09000006,Fermanagh and Omagh,female,Female,0-1,00-01
80.87,80.27,81.48,2007-09,2007-09,S12000041,Angus,female,Female,0-1,00-01
76.86,76.15,77.57,2006-08,2006-08,S12000041,Angus,male,Male,0-1,00-01
77.61,76.91,78.32,2008-10,2008-10,S12000041,Angus,male,Male,0-1,00-01
80.86,80.28,81.44,2006-08,2006-08,S12000041,Angus,female,Female,0-1,00-01
80.49,79.85,81.13,2008-10,2008-10,S12000041,Angus,female,Female,0-1,00-01
76.98,76.25,77.71,2007-09,2007-09,S12000041,Angus,male,Male,0-1,00-01
81.22,80.76,81.67,2006-08,2006-08,W06000010,Carmarthenshire,female,Female,0-1,00-01
76.53,76.0,77.05,2006-08,2006-08,W06000010,Carmarthenshire,male,Male,0-1,00-01
81.2,80.74,81.66,2007-09,2007-09,W06000010,Carmarthenshire,female,Female,0-1,00-01
77.57,77.05,78.09,2008-10,2008-10,W06000010,Carmarthenshire,male,Male,0-1,00-01
77.3,76.79,77.81,2007-09,2007-09,W06000010,Carmarthenshire,male,Male,0-1,00-01
81.55,81.11,82.0,2008-10,2008-10,W06000010,Carmarthenshire,female,Female,0-1,00-01
84.4,83.27,85.53,2006-08,2006-08,E06000017,Rutland,female,Female,0-1,00-01
79.68,78.42,80.94,2006-08,2006-08,E06000017,Rutland,male,Male,0-1,00-01
80.76,79.54,81.98,2008-10,2008-10,E06000017,Rutland,male,Male,0-1,00-01
83.73,82.54,84.93,2007-09,2007-09,E06000017,Rutland,female,Female,0-1,00-01
80.01,78.8,81.21,2007-09,2007-09,E06000017,Rutland,male,Male,0-1,00-01
83.08,81.88,84.28,2008-10,2008-10,E06000017,Rutland,female,Female,0-1,00-01
77.39,76.94,77.85,2008-10,2008-10,E06000015,Derby,male,Male,0-1,00-01
76.83,76.38,77.29,2006-08,2006-08,E06000015,Derby,male,Male,0-1,00-01
81.45,81.0,81.89,2008-10,2008-10,E06000015,Derby,female,Female,0-1,00-01
81.15,80.7,81.59,2007-09,2007-09,E06000015,Derby,female,Female,0-1,00-01
77.02,76.56,77.48,2007-09,2007-09,E06000015,Derby,male,Male,0-1,00-01
81.2,80.77,81.63,2006-08,2006-08,E06000015,Derby,female,Female,0-1,00-01
71.71,71.41,72.0,2008-10,2008-10,S12000049,Glasgow City,male,Male,0-1,00-01
70.7,70.39,71.0,2006-08,2006-08,S12000049,Glasgow City,male,Male,0-1,00-01
77.13,76.84,77.41,2006-08,2006-08,S12000049,Glasgow City,female,Female,0-1,00-01
77.37,77.08,77.65,2007-09,2007-09,S12000049,Glasgow City,female,Female,0-1,00-01
71.13,70.83,71.43,2007-09,2007-09,S12000049,Glasgow City,male,Male,0-1,00-01
77.87,77.59,78.15,2008-10,2008-10,S12000049,Glasgow City,female,Female,0-1,00-01
80.82,79.95,81.69,2007-09,2007-09,S12000005,Clackmannanshire,female,Female,0-1,00-01
74.51,73.51,75.51,2006-08,2006-08,S12000005,Clackmannanshire,male,Male,0-1,00-01
75.62,74.63,76.6,2008-10,2008-10,S12000005,Clackmannanshire,male,Male,0-1,00-01
80.32,79.44,81.19,2006-08,2006-08,S12000005,Clackmannanshire,female,Female,0-1,00-01
80.52,79.65,81.39,2008-10,2008-10,S12000005,Clackmannanshire,female,Female,0-1,00-01
74.97,73.99,75.95,2007-09,2007-09,S12000005,Clackmannanshire,male,Male,0-1,00-01
77.85,77.3,78.4,2006-08,2006-08,N09000011,Ards and North Down,male,Male,0-1,00-01
81.92,81.4,82.44,2007-09,2007-09,N09000011,Ards and North Down,female,Female,0-1,00-01
77.8,77.25,78.35,2007-09,2007-09,N09000011,Ards and North Down,male,Male,0-1,00-01
81.96,81.43,82.48,2006-08,2006-08,N09000011,Ards and North Down,female,Female,0-1,00-01
78.31,77.75,78.88,2008-10,2008-10,N09000011,Ards and North Down,male,Male,0-1,00-01
82.04,81.53,82.55,2008-10,2008-10,N09000011,Ards and North Down,female,Female,0-1,00-01
81.53,81.15,81.91,2006-08,2006-08,W06000015,Cardiff,female,Female,0-1,00-01
81.6,81.22,81.99,2007-09,2007-09,W06000015,Cardiff,female,Female,0-1,00-01
76.92,76.52,77.31,2007-09,2007-09,W06000015,Cardiff,male,Male,0-1,00-01
77.64,77.24,78.04,2008-10,2008-10,W06000015,Cardiff,male,Male,0-1,00-01
76.54,76.14,76.94,2006-08,2006-08,W06000015,Cardiff,male,Male,0-1,00-01
81.68,81.3,82.06,2008-10,2008-10,W06000015,Cardiff,female,Female,0-1,00-01
75.58,75.05,76.11,2006-08,2006-08,W06000018,Caerphilly,male,Male,0-1,00-01
76.15,75.63,76.68,2007-09,2007-09,W06000018,Caerphilly,male,Male,0-1,00-01
81.17,80.71,81.64,2008-10,2008-10,W06000018,Caerphilly,female,Female,0-1,00-01
80.73,80.25,81.22,2006-08,2006-08,W06000018,Caerphilly,female,Female,0-1,00-01
80.9,80.43,81.38,2007-09,2007-09,W06000018,Caerphilly,female,Female,0-1,00-01
76.76,76.24,77.28,2008-10,2008-10,W06000018,Caerphilly,male,Male,0-1,00-01
81.42,79.76,83.08,2006-08,2006-08,S12000027,Shetland Islands,female,Female,0-1,00-01
75.96,74.26,77.65,2007-09,2007-09,S12000027,Shetland Islands,male,Male,0-1,00-01
81.74,80.12,83.37,2007-09,2007-09,S12000027,Shetland Islands,female,Female,0-1,00-01
76.96,75.49,78.43,2008-10,2008-10,S12000027,Shetland Islands,male,Male,0-1,00-01
74.75,72.9,76.61,2006-08,2006-08,S12000027,Shetland Islands,male,Male,0-1,00-01
80.61,78.94,82.28,2008-10,2008-10,S12000027,Shetland Islands,female,Female,0-1,00-01
75.88,75.45,76.31,2008-10,2008-10,E06000018,Nottingham,male,Male,0-1,00-01
75.32,74.89,75.76,2007-09,2007-09,E06000018,Nottingham,male,Male,0-1,00-01
80.81,80.38,81.24,2008-10,2008-10,E06000018,Nottingham,female,Female,0-1,00-01
80.18,79.74,80.62,2006-08,2006-08,E06000018,Nottingham,female,Female,0-1,00-01
75.2,74.77,75.64,2006-08,2006-08,E06000018,Nottingham,male,Male,0-1,00-01
80.43,80.0,80.87,2007-09,2007-09,E06000018,Nottingham,female,Female,0-1,00-01
74.83,74.44,75.23,2007-09,2007-09,S12000029,South Lanarkshire,male,Male,0-1,00-01
75.67,75.28,76.06,2008-10,2008-10,S12000029,South Lanarkshire,male,Male,0-1,00-01
79.81,79.46,80.16,2007-09,2007-09,S12000029,South Lanarkshire,female,Female,0-1,00-01
79.47,79.12,79.83,2006-08,2006-08,S12000029,South Lanarkshire,female,Female,0-1,00-01
74.44,74.04,74.84,2006-08,2006-08,S12000029,South Lanarkshire,male,Male,0-1,00-01
80.1,79.76,80.44,2008-10,2008-10,S12000029,South Lanarkshire,female,Female,0-1,00-01
81.11,80.48,81.74,2007-09,2007-09,S12000010,East Lothian,female,Female,0-1,00-01
76.75,76.02,77.47,2007-09,2007-09,S12000010,East Lothian,male,Male,0-1,00-01
77.32,76.6,78.05,2008-10,2008-10,S12000010,East Lothian,male,Male,0-1,00-01
81.22,80.59,81.85,2006-08,2006-08,S12000010,East Lothian,female,Female,0-1,00-01
81.06,80.43,81.7,2008-10,2008-10,S12000010,East Lothian,female,Female,0-1,00-01
76.61,75.9,77.32,2006-08,2006-08,S12000010,East Lothian,male,Male,0-1,00-01
73.88,73.5,74.27,2007-09,2007-09,S12000050,North Lanarkshire,male,Male,0-1,00-01
78.41,78.06,78.76,2006-08,2006-08,S12000050,North Lanarkshire,female,Female,0-1,00-01
74.43,74.05,74.81,2008-10,2008-10,S12000050,North Lanarkshire,male,Male,0-1,00-01
78.68,78.33,79.03,2008-10,2008-10,S12000050,North Lanarkshire,female,Female,0-1,00-01
73.21,72.82,73.6,2006-08,2006-08,S12000050,North Lanarkshire,male,Male,0-1,00-01
78.49,78.15,78.84,2007-09,2007-09,S12000050,North Lanarkshire,female,Female,0-1,00-01
77.03,76.32,77.73,2006-08,2006-08,W06000003,Conwy,male,Male,0-1,00-01
81.78,81.16,82.41,2008-10,2008-10,W06000003,Conwy,female,Female,0-1,00-01
81.5,80.88,82.13,2006-08,2006-08,W06000003,Conwy,female,Female,0-1,00-01
77.2,76.48,77.92,2007-09,2007-09,W06000003,Conwy,male,Male,0-1,00-01
81.71,81.1,82.32,2007-09,2007-09,W06000003,Conwy,female,Female,0-1,00-01
77.87,77.19,78.55,2008-10,2008-10,W06000003,Conwy,male,Male,0-1,00-01
79.76,79.36,80.17,2006-08,2006-08,W06000016,Rhondda Cynon Taf,female,Female,0-1,00-01
75.32,74.84,75.79,2007-09,2007-09,W06000016,Rhondda Cynon Taf,male,Male,0-1,00-01
79.77,79.36,80.18,2007-09,2007-09,W06000016,Rhondda Cynon Taf,female,Female,0-1,00-01
76.0,75.55,76.46,2008-10,2008-10,W06000016,Rhondda Cynon Taf,male,Male,0-1,00-01
80.23,79.81,80.64,2008-10,2008-10,W06000016,Rhondda Cynon Taf,female,Female,0-1,00-01
75.34,74.88,75.81,2006-08,2006-08,W06000016,Rhondda Cynon Taf,male,Male,0-1,00-01
81.13,80.71,81.54,2006-08,2006-08,S12000034,Aberdeenshire,female,Female,0-1,00-01
77.45,76.99,77.91,2006-08,2006-08,S12000034,Aberdeenshire,male,Male,0-1,00-01
77.91,77.46,78.35,2007-09,2007-09,S12000034,Aberdeenshire,male,Male,0-1,00-01
81.33,80.92,81.74,2007-09,2007-09,S12000034,Aberdeenshire,female,Female,0-1,00-01
81.55,81.15,81.95,2008-10,2008-10,S12000034,Aberdeenshire,female,Female,0-1,00-01
